name,norad_id,epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,line1,line2
CYGFM04,41885,26050.06581582,34.9328,292.3871,0.0004644,144.803,215.3,15.54122323,1 41885U 16078B   26050.06581582  .00022917  00000+0  34128-3 0  9997,2 41885  34.9328 292.3871 0004644 144.8030 215.3000 15.54122323510563
CYGFM02,41886,26050.05574501,34.9414,289.7216,0.0005706,144.6163,215.494,15.56093318,1 41886U 16078C   26050.05574501  .00025077  00000+0  34703-3 0  9999,2 41886  34.9414 289.7216 0005706 144.6163 215.4940 15.56093318510701
CYGFM01,41887,26050.13885207,34.942,321.0937,0.0005242,94.8235,265.3086,15.51601306,1 41887U 16078D   26050.13885207  .00021143  00000+0  34511-3 0  9994,2 41887  34.9420 321.0937 0005242  94.8235 265.3086 15.51601306510320
CYGFM08,41888,26050.13649316,34.9445,303.2287,0.0006629,128.4945,231.6374,15.53041332,1 41888U 16078E   26050.13649316  .00022886  00000+0  35436-3 0  9996,2 41888  34.9445 303.2287 0006629 128.4945 231.6374 15.53041332510561
CYGFM07,41890,26050.04692742,34.9457,292.3876,0.0005228,152.8793,207.2204,15.53703348,1 41890U 16078G   26050.04692742  .00022520  00000+0  34054-3 0  9990,2 41890  34.9457 292.3876 0005228 152.8793 207.2204 15.53703348510579
CYGFM03,41891,26050.08145641,34.941,294.1313,0.0004422,130.7891,229.3216,15.53577687,1 41891U 16078H   26050.08145641  .00022449  00000+0  34110-3 0  9999,2 41891  34.9410 294.1313 0004422 130.7891 229.3216 15.53577687510555
FENGYUN 3D,43010,26050.59425531,98.9998,22.9736,0.0002282,46.4379,313.6986,14.19709053,1 43010U 17072A   26050.59425531 -.00000015  00000+0  14654-4 0  9992,2 43010  98.9998  22.9736 0002282  46.4379 313.6986 14.19709053428300
NOAA 20 (JPSS-1),43013,26050.57269807,98.7672,351.1424,3.22e-05,154.6699,205.4493,14.19530962,1 43013U 17073A   26050.57269807  .00000080  00000+0  58829-4 0  9999,2 43013  98.7672 351.1424 0000322 154.6699 205.4493 14.19530962427784
GOES 17,43226,26050.51650284,0.6328,87.8958,0.0002401,212.1064,305.9152,1.00272066,1 43226U 18022A   26050.51650284 -.00000177  00000+0  00000+0 0  9998,2 43226   0.6328  87.8958 0002401 212.1064 305.9152  1.00272066 29242
FENGYUN 2H,43491,26050.62116799,2.7255,80.5356,0.0001787,167.856,203.7943,1.00273892,1 43491U 18050A   26050.62116799 -.00000121  00000+0  00000+0 0  9992,2 43491   2.7255  80.5356 0001787 167.8560 203.7943  1.00273892 28265
METOP-C,43689,26050.59078191,98.6806,112.2673,0.0001945,125.2841,234.8518,14.21490667,1 43689U 18087A   26050.59078191  .00000120  00000+0  74782-4 0  9991,2 43689  98.6806 112.2673 0001945 125.2841 234.8518 14.21490667378125
GEO-KOMPSAT-2A,43823,26050.34563081,0.024,355.9757,0.0001296,49.9939,355.9686,1.00268607,1 43823U 18100A   26050.34563081 -.00000339  00000+0  00000+0 0  9997,2 43823   0.0240 355.9757 0001296  49.9939 355.9686  1.00268607 26448
METEOR-M2 2,44387,26050.58084699,98.9057,36.186,0.0001753,34.4784,325.6508,14.24326319,1 44387U 19038A   26050.58084699  .00000213  00000+0  11222-3 0  9995,2 44387  98.9057  36.1860 0001753  34.4784 325.6508 14.24326319344551
ARKTIKA-M 1,47719,26048.86332832,63.1981,74.6959,0.7236956,269.3955,15.2618,2.00622481,1 47719U 21016A   26048.86332832 -.00000090  00000+0  00000+0 0  9991,2 47719  63.1981  74.6959 7236956 269.3955  15.2618  2.00622481 36394
