index,norad_id,name,cost_km,cost_incl_deg
22,41884,CYGFM05,6478.02588180292,64.04169999999999
24,41886,CYGFM02,11475.243152272064,64.0595
27,41890,CYGFM07,8357.191934977076,64.0552
28,41891,CYGFM03,10525.34820958962,64.0599
45,56232,FENGYUN 3G,12820.959710551446,49.008900000000004
